DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
ABW;BOG;474;3793;16032757
BIH;BOG;5;40;168559
BIH;BOG;31755;8892;37534489
BIH;BOG;9000;1080;4559101
AGO;BOG;3;12300;52262615
AGO;BOG;30;355;1507843
AGO;BOG;10;300;1273213
AGO;BOG;24;1455;6183230
AGO;BOG;3;566;2403659
SAU;BOG;920;767;3241563
SAU;BOG;8772;5875;24801764
SAU;BOG;11948;9419;40272654
SAU;BOG;10;138;601597
SAU;BOG;962;366;1593622
SAU;BOG;30;121;512750
SAU;BOG;20;118;500058
SAU;BOG;28;128;541941
SAU;BOG;16;67;284297
SAU;BOG;14;50;213223
SAU;BOG;45;139;586997
SAU;BOG;25;148;628246
SAU;BOG;15;78;332103
SAU;BOG;20;90;380755
SAU;BOG;17;9267;37566194
SAU;BOG;6;1711;6935983
SAU;BOG;3;891;3611900
SAU;BOG;16;20146;84895019
SAU;BOG;6;51445;216785832
SAU;BOG;12900;4093;16950873
SAU;BOG;800;152;629497
SAU;BOG;210;2;8697
SAU;BOG;540;173;715639
SAU;BOG;610;684;2834809
SAU;BOG;700;219;906973
SAU;BOG;469;2582;10693172
SAU;BOG;5040;46176;194586301
SAU;BOG;8400;76961;324950816
SAU;BOG;4219;14840;65099789
SAU;BOG;720;10320;42739558
SAU;BOG;130;1096;4688905
SAU;BOG;260;1508;6466504
SAU;BOG;134;617;2647692
SAU;BOG;73;483;2084242
SAU;BOG;154;1153;4963867
SAU;BOG;13;113;478615
SAU;BOG;20;180;756275
SAU;BOG;2;120;508026
SAU;BOG;8;1;2882
SAU;BOG;0;7;30774
SAU;BOG;0;1863;7897656
SAU;BOG;4;1777;7551947
SAU;BOG;1;424;1798629
DZA;BOG;17;750;3166042
DZA;BOG;2943;19756;83741534
ARG;BOG;50;1909;8045775
ARG;BOG;61;38950;165498550
ARG;BOG;2;3250;13809250
ARG;BOG;31460;3146;13313778
ARG;BOG;95950;26446;115290872
ARG;BOG;51702;10376;43708900
ARG;BOG;64;1010;4196489
ARG;BOG;13273;2363;9784294
ARG;BOG;3200;5845;24284793
ARG;BOG;2751;84190;356249793
ARG;BOG;1514;14171;59953243
ARG;BOG;300;2937;12449926
ARG;BOG;1200;7668;31138444
ARG;BOG;2;3733;15159728
ARG;BOG;2507;23472;99298763
ARG;BOG;78;1880;8246921
ARG;BOG;7;685;2823778
ARG;BOG;20;146;617177
ARG;BOG;0;33;138271
ARG;BOG;0;74;313039
ARG;BOG;5;43;182482
ARG;BOG;0;850;3603022
ARG;BOG;3;36;152599
ARG;BOG;8;734;3111952
ARG;BOG;1;45;188883
ARG;BOG;0;1297;5497788
ARG;BOG;0;28;120638
ARG;BOG;1;143;606156
ARG;BOG;10;32;136067
ARG;BOG;4;35;147682
ARG;BOG;10;11;45780
ARG;BOG;3;74;310915
ARG;BOG;1300;78;331663
ARG;BOG;2;172;732465
ARG;BOG;72;62;261759
ARG;BOG;12;2971;12438099
ARG;BOG;17075;2237;9293894
ARG;BOG;760;471;1957808
ARG;BOG;18625;5550;23549887
ARG;BOG;4200;462;1934399
ARG;BOG;355;304;1274945
ARG;BOG;3240;670;2848530
ARG;BOG;2;882;3867630
ARG;BOG;179;17467;75018283
ARG;BOG;2;65;283554
ARG;BOG;1;100;404687
ARG;BOG;896800;44815;187408242
ARG;BOG;1;2285;10023518
ARG;BOG;60000;5152;21746913
ARG;BOG;0;214;868883
ARG;BOG;69;3284;13313440
ARG;BOG;1;215;869815
ARG;BOG;155;11082;44922795
ARG;BOG;24;1405;5695330
ARG;BOG;12;137;555973
ARG;BOG;2024;1463557;6197042738
AUS;BOG;216960;38244;161422463
AUS;BOG;19600;5467;23042656
AUS;BOG;22000;2200;9288598
AUS;BOG;8100;4860;20560765
AUS;BOG;335;223;942708
AUS;BOG;1500;315;1329958
AUS;BOG;5400;1134;4787850
AUS;BOG;7150;2431;10663970
AUS;BOG;33600;5880;23877680
AUS;BOG;16850;3370;14783044
AUS;BOG;60770;11638;47178875
AUS;BOG;2988;3002;13170508
AUS;BOG;40;84;368479
AUS;BOG;500;20;84639
AUS;BOG;140;465;1967020
AUS;BOG;367;10111;42772880
AUS;BOG;5;166;700772
AUS;BOG;189;1393;5911295
AUS;BOG;4;15;60644
AUS;BOG;1;1;5318
AUS;BOG;149;1941;8222110
AUS;BOG;208;6935;29349317
AUS;BOG;2791;63011;266799589
AUS;BOG;254;3850;16768331
AUS;BOG;704;18135;75409223
AUS;BOG;3750;65651;276585353
AUS;BOG;150;1714;7201422
AUS;BOG;200;782;3430807
AUS;BOG;293;23040;101068646
AUS;BOG;4;415;1820332
AUS;BOG;1650;314;1270854
AUS;BOG;1000;180;753662
AUS;BOG;20800;7688;32689005
AUS;BOG;16;29805;130010272
AUS;BOG;5;750;3045622
AUS;BOG;4450;801;3386139
AUS;BOG;50;173810;762446822
AUS;BOG;0;20;82412
AUS;BOG;35675;8596;36289179
AUS;BOG;640;896;3782365
AUS;BOG;630;1114;4700940
AUS;BOG;1725;2987;12610347
AUS;BOG;20700;2958;12486872
AUS;BOG;2400;504;2127581
AUS;BOG;1340;1131;4772704
AUS;BOG;48;532;2245779
AUS;BOG;24;80;341620
AUS;BOG;216308;52742;222879777
AUS;BOG;28500;5890;24866098
AUS;BOG;45000;8855;36791994
AUS;BOG;1620;821;3490115
AUS;BOG;5670;1796;7635903
AUS;BOG;92;1325;5581562
AUS;BOG;20775;4729;20014696
AUS;BOG;107;697;3038502
AUS;BOG;7750;1472;6261203
AUS;BOG;450;292;1228948
AUS;BOG;100;363987;1525817517
AUS;BOG;744;18678;79361420
AUT;BOG;12480;2122;9014678
AUT;BOG;34560;5875;24963725
AUT;BOG;19152;3701;15736815
AUT;BOG;72240;10598;45031752
AUT;BOG;520;99;421501
AUT;BOG;22890;4132;17558568
AUT;BOG;28960;4614;19604114
AUT;BOG;97860;15101;64154491
AUT;BOG;240;48;203952
AUT;BOG;16270;2975;12639925
AUT;BOG;175;3463;14715349
AZE;BOG;9140;5971;25304195
AZE;BOG;64;154;673791
AZE;BOG;10450;1816;7667967
AZE;BOG;4;4550;19331760
BHS;BOG;1;1000;4187010
BHS;BOG;8;1236;5250942
BHS;BOG;124;9270;39394259
BHS;BOG;927;10979;46656249
BHS;BOG;8;265;1128043
BHS;BOG;5;458;1944242
BHS;BOG;1911;35462;150704788
BHS;BOG;96;3252;13822097
BHS;BOG;14;12901;54684726
BHR;BOG;300;96;405829
BHR;BOG;500;337;1401461
BHR;BOG;220;83;351719
BHR;BOG;3;52;219824
BHR;BOG;3612;2210;9311310
BHR;BOG;3455;2051;8625855
BHR;BOG;240;67;284388
BHR;BOG;1010;215;941377
BHR;BOG;5;17;73340
BHR;BOG;12;35;146974
BHR;BOG;6;12;52404
BHR;BOG;12;64;270400
BHR;BOG;174;458;1927219
BHR;BOG;15;76;322256
BHR;BOG;9;43;182738
BHR;BOG;18000;4410;18751717
BHR;BOG;18700;2949;11954538
BHR;BOG;11850;1422;5764447
BHR;BOG;54;54;227552
BHR;BOG;3400;1022;4302306
BHR;BOG;10625;2656;11213067
BHR;BOG;101225;16090;66993837
BHR;BOG;750;90;376831
BHR;BOG;2600;520;2177245
BHR;BOG;2920;808;3381429
BHR;BOG;192;2429;10170289
BRB;BOG;26600;4567;19189774
BRB;BOG;27000;998;4191194
BRB;BOG;30000;871;3658524
BRB;BOG;21000;1794;7537545
BRB;BOG;280;5325;22480801
BRB;BOG;105;3960;16319427
BRB;BOG;431;18254;75218622
BRB;BOG;959;12246;50462431
BRB;BOG;36;2741;11294867
BRB;BOG;723;7674;31622462
BEL;BOG;60;237;990647
BEL;BOG;36;243;1016690
BEL;BOG;380;2582;10811279
BEL;BOG;99;302;1265649
BEL;BOG;140;1081;4528209
BEL;BOG;207;1223;5121006
BEL;BOG;350;1418;5935087
BEL;BOG;1;40;164825
BEL;BOG;45;16456;72185780
BEL;BOG;1400;7524;31974818
BEL;BOG;1160;8700;36959225
BEL;BOG;140;1190;4832388
BEL;BOG;756;3994;16594747
BEL;BOG;155;7776;32041941
BEL;BOG;348;59676;251958244
BLZ;BOG;1;64;271903
BLZ;BOG;10;136;572093
BLZ;BOG;2;104;439097
BLZ;BOG;12;210;886639
BLZ;BOG;515;10564;44740422
BLZ;BOG;16;642;2798735
BLZ;BOG;247;12482;54412590
BLZ;BOG;2;2252;9877223
BLR;BOG;32458;32523;137487912
BLR;BOG;72650;25065;103804860
BLR;BOG;39500;7804;32317649
BLR;BOG;66500;22300;92355711
BLR;BOG;2650;500;2070715
BLR;BOG;85600;16432;68052102
BLR;BOG;7950;2764;11444842
BLR;BOG;10000;1900;7868717
BLR;BOG;1120;3464;15195390
BLR;BOG;104;274;1201945
BLR;BOG;12850;4496;18617799
BLR;BOG;1750;332;1377025
BLR;BOG;6400;1212;5019413
BLR;BOG;1600;598;2478232
BLR;BOG;400;51;207914
BLR;BOG;12700;1613;6549713
BLR;BOG;11225;3633;15438984
BLR;BOG;7850;1013;4304744
BLR;BOG;25350;2892;12290799
BLR;BOG;12000;1632;6877199
BLR;BOG;500;0;212
BLR;BOG;246;446;1882740
BLR;BOG;2;27;114822
BOL;BOG;164;647;2730468
BOL;BOG;683;2658;11223160
BOL;BOG;160;1248;5269168
BOL;BOG;250;1988;8391404
BOL;BOG;860;2944;12430677
BOL;BOG;180;675;2849911
BOL;BOG;500;1855;7831175
BOL;BOG;180;708;2990506
BOL;BOG;253;963;4064944
BOL;BOG;340;2556;10791662
BOL;BOG;180;1289;5441430
BOL;BOG;700;4515;19062736
BOL;BOG;160;662;2796712
BOL;BOG;250;1678;7082556
BOL;BOG;180;1433;6049411
BOL;BOG;643;15367;65295785
BOL;BOG;170;5910;25112865
BOL;BOG;50;371;1576379
BOL;BOG;172;26660;109855729
BOL;BOG;89;408;1682408
BOL;BOG;99;734;3025565
BOL;BOG;32;249;1024551
BOL;BOG;10;64;264956
BOL;BOG;102;373;1536909
BOL;BOG;198;757;3118732
BOL;BOG;66;151;622790
BOL;BOG;13;29;120528
BOL;BOG;132;553;2278291
BOL;BOG;10;98;402173
BOL;BOG;45;284;1170050
BOL;BOG;15;49;200880
BOL;BOG;250;1168;4814038
BOL;BOG;160;769;3247632
BOL;BOG;1666;4560;19254208
BOL;BOG;204;530;2239397
BOL;BOG;19;502;2118391
BOL;BOG;18;359;1514633
BOL;BOG;149;901;3821111
BOL;BOG;12;66;278238
BOL;BOG;38;178;756550
BOL;BOG;65;420;1779893
BOL;BOG;39;138;586826
BOL;BOG;32;140;591404
BOL;BOG;90;371;1574097
BOL;BOG;239;752;3189226
BOL;BOG;33;114;481915
BOL;BOG;245;704;2983260
BOL;BOG;101;577;2447130
BOL;BOG;319;790;3347123
BOL;BOG;48;182;769775
BOL;BOG;266;879;3724593
BOL;BOG;11;103;435499
BOL;BOG;74;303;1282930
BOL;BOG;59;594;2518386
BOL;BOG;4;20;83251
BOL;BOG;38;163;691017
BOL;BOG;20;37;155990
BOL;BOG;85400;12943;53333185
BOL;BOG;58404;10426;42963397
BOL;BOG;320;713;3069075
BOL;BOG;1535;3484;15022028
BOL;BOG;150;266;1152376
BOL;BOG;298;621;2718571
BOL;BOG;903;2445;10301429
BOL;BOG;651;1218;5174077
BOL;BOG;28;63;272468
BOL;BOG;110;212;911534
BOL;BOG;165;310;1335168
BOL;BOG;14;25;103495
BOL;BOG;175;403;1732180
BOL;BOG;5;11;47389
BOL;BOG;180;2439;10536194
BOL;BOG;110;1198;5049614
BOL;BOG;397;37376;163274174
BOL;BOG;1049;142869;580010829
BOL;BOG;135;15572;64167860
BOL;BOG;1730;90465;368271431
BOL;BOG;280;22356;92121446
BOL;BOG;100;3903;15821825
BOL;BOG;44;2191;8882802
BOL;BOG;853;20666;83896974
BOL;BOG;147;5342;22677212
BOL;BOG;71;3407;14449279
BOL;BOG;77;20232;82016483
BOL;BOG;20;1104;4692777
BOL;BOG;2132;48127;203198045
BOL;BOG;2817;99775;419625841
BOL;BOG;1649;79751;334247953
BOL;BOG;2210;83295;350297250
BOL;BOG;970;6528;27619453
BOL;BOG;220;27000;117703799
BOL;BOG;77;175;767666
BOL;BOG;5;8;34512
BOL;BOG;95;495;2006409
BOL;BOG;99;635;2579485
BOL;BOG;285;1382;5601567
BOL;BOG;5;14;58374
BOL;BOG;270;1106;4547109
BOL;BOG;98;425;1724105
BOL;BOG;2177;5506;22321016
BOL;BOG;363;1137;4609287
BOL;BOG;176;707;2864184
BOL;BOG;64;239;968605
BOL;BOG;1867;4380;17779018
BOL;BOG;504;2108;8546745
BOL;BOG;96;240;975790
BOL;BOG;28;268;1085110
BOL;BOG;16;72;295984
BOL;BOG;244;1621;6571794
BOL;BOG;8;48;192635
BOL;BOG;126;254;1029209
BOL;BOG;120;1000;4359400
BOL;BOG;98;1752;7685428
BOL;BOG;4;21;91418
BOL;BOG;13;89;392343
BOL;BOG;26;125;547455
BOL;BOG;15;104;457967
BOL;BOG;300;2267;9667252
BOL;BOG;289;1171;5064944
BOL;BOG;57;292;1282703
BOL;BOG;92;336;1427301
BOL;BOG;41;177;776965
BOL;BOG;812;1958;8575352
BOL;BOG;236;1152;5046474
BOL;BOG;45;134;579868
BOL;BOG;148;483;2030810
BOL;BOG;84;484;2048745
BOL;BOG;825;1903;8277937
BOL;BOG;532;2168;9474631
BOL;BOG;107;432;1860013
BOL;BOG;17;82;344988
BOL;BOG;314;2318;10144503
BOL;BOG;7;31;130584
BOL;BOG;178;1433;6169137
BOL;BOG;33;196;859873
BOL;BOG;8;25;109140
BOL;BOG;218;1249;5260852
BOL;BOG;46;211;920803
BOL;BOG;29;63;274780
BOL;BOG;161;3896;16189017
BOL;BOG;25;697;2897032
BOL;BOG;20;397;1634032
BOL;BOG;4;168;736959
BOL;BOG;3;5374;23573911
BOL;BOG;1;394;1728344
BOL;BOG;2;100;438666
BOL;BOG;5;685;3004862
BOL;BOG;3;145;636066
BOL;BOG;180;5130;21314842
BOL;BOG;81;8222;35842987
BOL;BOG;151;7852;34230009
BOL;BOG;16;430;1782637
BOL;BOG;30;732;3031527
BOL;BOG;222;3710;15365451
BOL;BOG;383;7323;30328686
BOL;BOG;28;1471;6092872
BOL;BOG;337;794;3376159
BOL;BOG;100;5300;23249298
BOL;BOG;1;22;93546
BOL;BOG;586;7148;29463746
BOL;BOG;1;19;80790
BOL;BOG;1;21;89294
BOL;BOG;5;108;459226
BOL;BOG;504;8534;35667232
BOL;BOG;3;58;246621
BOL;BOG;1;19;80790
BOL;BOG;157;4021;17083444
BOL;BOG;20000;3389;14238145
BOL;BOG;77;638;2626895
BOL;BOG;42;262;1081663
BOL;BOG;40;4;16566
BOL;BOG;130;13;53839
BOL;BOG;53;5077;21093633
BOL;BOG;312;1978;8151905
BOL;BOG;1;34;148220
BOL;BOG;2180;17200;73558925
BOL;BOG;152;6496;27887764
BOL;BOG;143;3951;16741927
BOL;BOG;30;854;3679865
BOL;BOG;976;12328;52877558
BOL;BOG;262;935;3951634
BOL;BOG;115;534;2342301
BOL;BOG;853;117698;498905397
BOL;BOG;827;11529;48807858
BOL;BOG;149;7318;31661805
BOL;BOG;411;10848;46171146
BOL;BOG;203;483;2044045
BOL;BOG;151;2954;12571595
BOL;BOG;173;728;3145683
BOL;BOG;5267;383;1620697
BOL;BOG;92;557;2350015
BOL;BOG;5;26;111252
BOL;BOG;180;1032;4355846
BOL;BOG;7;45;190923
BOL;BOG;5;18;75575
BOL;BOG;105;410;1732450
BOL;BOG;5;22;91619
BOL;BOG;229;536;2261351
BOL;BOG;260;689;2907838
BOL;BOG;98;343;1446235
BOL;BOG;45;196;828374
BOL;BOG;1201;2856;12056178
BOL;BOG;478;1640;6926254
BOL;BOG;274;635;2681407
BOL;BOG;23;218;920416
BOL;BOG;124;593;2503530
BOL;BOG;248;2469;10425733
BOL;BOG;58;165;697827
BOL;BOG;97;437;1844716
BOL;BOG;7;33;138316
BOL;BOG;70;4233;17944197
BOL;BOG;2;13;54596
BOL;BOG;21;216;946814
BOL;BOG;7;66;279629
BOL;BOG;99;5347;22143067
BOL;BOG;21;625;2678578
BOL;BOG;124;7481;32190468
BOL;BOG;201;1217;5174732
BOL;BOG;23;354;1520583
BOL;BOG;26;322;1411671
BOL;BOG;420;2526;11080747
BOL;BOG;46;4912;20740299
BOL;BOG;1337;28236;119974764
BOL;BOG;66;41;174837
BOL;BOG;514;4458;19326932
BOL;BOG;14;492;2112047
BOL;BOG;8;251;1062475
BOL;BOG;153;737;3140334
BOL;BOG;4;6969;29612258
BOL;BOG;1;429;1821886
BOL;BOG;12;5421;23033744
BOL;BOG;2;29863;130998433
BOL;BOG;24;1956;8101631
BOL;BOG;737;6235;27352536
BOL;BOG;217;6462;27338836
BOL;BOG;683;608144;2629073153
BOL;BOG;0;45;187406
BOL;BOG;18;624;2571267
BOL;BOG;0;112;462045
BOL;BOG;38;5404;22269685
BOL;BOG;2;54;221525
BOL;BOG;9;709;2920613
BOL;BOG;27;650;2679763
BOL;BOG;5;106;437198
BOL;BOG;170;6120;25789496
BOL;BUN;7879;81188;350235101
BOL;BUN;199;8332;35527766
BOL;BUN;177;6599;28053368
BOL;BUN;27;723;3069022
BOL;BUN;3649;14646;63833653
BOL;BUN;25;84;370497
BOL;BUN;659;2289;9618773
BOL;BUN;146;825;3620749
BOL;BUN;764;9093;38207454
BOL;BUN;52;2510;10609360
BOL;BUN;6;176;739427
BOL;BUN;1097;11691;49903399
BOL;BUN;422;1439;6311044
BOL;BUN;510;9153;38619963
BOL;BUN;953;3987;17142411
BOL;BUN;34;351;1511140
BOL;BUN;3;165;704339
BOL;BUN;4;77;325072
BOL;BUN;8;228;964493
BOL;BUN;10;12;54658
BOL;BUN;62;44;183691
BRA;BOG;1000;10934;46075548
BRA;BOG;21000;28624;122611044
BRA;BOG;13500;3206;13211120
BRA;BOG;45925;19946;87496320
BRA;BOG;3600;396;1737117
BRA;BOG;25375;7196;30573680
BRA;BOG;24000;2688;11254683
BRA;BOG;23400;2117;8944178
BRA;BOG;100;440;1813073
BRA;BOG;252;1134;4672783
BRA;BOG;165;54378;229878028
BRA;BOG;2;1974;8657074
BRA;BOG;20;776;3298839
BRA;BOG;1;16019;68066643
BRA;BOG;102;9157;38906393
BRA;BOG;18;5125;21792089
BRA;BOG;2067;25538;108141273
BRA;BOG;720;2673;11300659
BRA;BOG;51;50;209992
BRA;BOG;1323;42744;176132894
BRA;BOG;77280;6970;29429909
BRA;BOG;1;44872;185835034
BRA;BOG;198;541;2285073
BRA;BOG;2814;12295;51976732
BRA;BOG;294;803;3392988
BRA;BOG;3897;15192;64223566
BRA;BOG;4381;14174;59919871
BRA;BOG;1008;1781;7533616
BRA;BOG;1105;4190;16985011
BRA;BOG;8741;58644;237728134
BRA;BOG;5024;28467;121012356
BRA;BOG;24000;2712;11464682
BRA;BOG;9200;1840;7823846
BRA;BOG;160;616;2619287
BRA;BOG;75;351;1492484
BRA;BOG;3630;12410;52203176
BRA;BOG;120;2430;10280382
BRA;BOG;300;10377;44091873
BRA;BOG;40;1729;7022271
BRA;BOG;2;878;3828469
BRA;BOG;3;1345;5861824
BRA;BOG;83;8029;34137990
BRA;BOG;109;6519;27721331
BRA;BOG;1;1577;6875994
BRA;BOG;375;12177;51313428
BRA;BOG;20;1055;4485105
BRA;BOG;60;1296;5384802
BRA;BOG;2500;1740;7633885
BRA;BOG;1107;26508;116281452
BRA;BOG;3;1786;7783709
BRA;BOG;1;124;539563
BRA;BOG;1;50;203042
BRA;BOG;0;2;10173
BRA;BOG;3;374;1587025
BRA;BOG;500;30;131600
BRA;BOG;8;5;18599
BRA;BOG;4;22;92619
BRA;BOG;0;16;68695
BRA;BOG;36;31;135021
BRA;BOG;0;113;480431
BRA;BOG;0;80;337328
BRA;BOG;1;921;3828569
BRA;BOG;99;561;2382329
BRA;BOG;1000;1888;8021347
BRA;BOG;8;2276;9672340
BRA;BOG;0;20;82144
BRA;BOG;2759;47880;202181594
BRA;BOG;337;31254;132122720
BRA;BOG;2;221707;939783565
BRA;BOG;19700;6842;28912857
BRA;BOG;1248;6480;28104742
BRA;BOG;14;56;245653
BRA;BOG;48;128;561492
BRA;BOG;2352;10930;47451224
BRA;BOG;3178;16679;72392855
BRA;BOG;2500;57300;236111526
BRA;BOG;2;101;429251
BRA;BOG;5;31;134232
BRA;BOG;1481;41912;180000572
BRA;BOG;2;578;2382872
BRA;BOG;2;205;901020
BRA;BOG;4000;15240;64754760
BRA;BOG;17950;5770;24398751
BRA;BOG;99;332;1414583
BRA;BOG;1272;5946;25449088
BRA;BOG;180;599;2597974
BRA;BOG;3207;12913;54858084
BRA;BOG;1758;8181;35131176
BRA;BOG;48;212;929972
BRA;BOG;45;147;617974
BRA;BOG;734;435559;1878788764
BRA;BOG;1;12;49993
BRA;BOG;1;112;466935
BRA;BOG;430;282391;1146742251
BRA;BOG;150;483;2044042
BRA;BOG;464;11;45197
BRA;BOG;669;41;175204
BRA;BOG;2;179310;745024161
BRA;BOG;330;1914;8099991
BRA;BOG;4180;3309454;14071482740
BRA;BOG;684540;6848;28005483
BRA;BOG;93;39;161660
BRA;BOG;10;490;2064125
BRA;BOG;0;901;3828181
BRN;BOG;16;750;3189068
BGR;BOG;45000;2700;11422647
